customer_id,first_name,last_name,email,phone,date_of_birth,gender,registration_date,acquisition_channel,marketing_consent,account_status,preferred_language,created_at,updated_at,last_activity_date
30,Donald,Fisher,zstewart@example.org,219-903-6133x25411,1953-03-29,male,2022-12-07 21:15:32,email,True,active,English,2022-12-07 21:15:32,2024-10-08 21:28:57,2023-01-14 04:55:15
31,Timothy,Pittman,danielallen@example.com,9583319971,1994-08-19,male,2025-05-25 20:20:18,referral,False,active,English,2025-05-25 20:20:18,2025-06-11 10:57:32,2025-06-06 15:09:35
32,James,Wu,pattonbryan@example.com,6498611080,1943-12-23,male,2022-11-16 17:25:56,paid_ads,True,active,English,2022-11-16 17:25:56,2024-08-01 17:15:44,2023-04-14 14:14:34
33,Crystal,Greene,chavezsteven@example.com,+1-291-350-7859x311,2001-08-28,female,2024-06-25 13:30:26,paid_ads,True,active,English,2024-06-25 13:30:26,2024-11-22 22:44:37,2025-09-13 18:57:21
34,Jordan,Kelly,chardy@example.org,720.602.4968,1976-02-18,male,2025-06-12 00:55:56,organic,True,active,English,2025-06-12 00:55:56,2025-09-25 02:50:40,2025-07-10 07:35:32
35,Elizabeth,Cooper,tara89@example.net,+1-520-938-8065x3331,1944-02-27,female,2024-09-24 07:24:16,organic,False,inactive,English,2024-09-24 07:24:16,2025-06-21 03:14:17,2025-06-19 23:49:47
36,Michael,Christian,christina65@example.org,570-573-0337,2003-07-01,male,2025-04-14 15:02:57,paid_ads,True,active,English,2025-04-14 15:02:57,2025-07-16 23:29:19,2025-09-04 06:28:07
37,Renee,Bennett,alopez@example.com,5157081247,1975-10-26,female,2024-02-22 22:04:08,organic,False,active,English,2024-02-22 22:04:08,2024-03-28 00:30:50,2024-03-16 23:26:53
38,Duane,Robinson,jennifer58@example.org,(330)724-1026,1972-03-18,male,2023-07-30 05:44:25,paid_ads,True,active,English,2023-07-30 05:44:25,2024-06-20 19:57:28,2024-11-15 03:39:46
39,Jaclyn,Watson,shelleyrowland@example.net,(211)522-3386x55963,1994-06-27,female,2023-10-03 23:43:42,referral,True,active,English,2023-10-03 23:43:42,2025-07-28 15:33:33,2024-11-22 21:34:54
40,Garrett,Brown,monique89@example.com,717.991.2868,1988-04-24,male,2023-05-14 17:15:58,referral,True,inactive,English,2023-05-14 17:15:58,2025-07-28 18:58:32,2025-05-04 22:24:17
41,Michelle,Fox,fbaldwin@example.com,696-890-3337x363,1959-03-11,female,2024-02-07 20:43:33,organic,True,active,English,2024-02-07 20:43:33,2024-11-26 18:03:42,2025-04-26 15:50:30
42,David,Miller,phillipsapril@example.org,001-807-889-5677,1965-03-03,male,2024-04-29 02:01:23,paid_ads,False,active,English,2024-04-29 02:01:23,2025-02-08 12:56:31,2025-05-20 12:53:52
43,James,White,josephjones@example.org,588-781-4311x1508,2002-05-04,male,2023-11-24 01:11:36,organic,False,active,English,2023-11-24 01:11:36,2024-04-24 18:56:47,2025-05-01 10:06:21
44,Elizabeth,Ochoa,james92@example.net,001-484-804-4566x907,1999-05-08,female,2023-10-19 07:50:49,organic,True,active,English,2023-10-19 07:50:49,2024-04-13 02:13:03,2024-04-12 14:03:35
45,John,Black,dsharp@example.com,253-766-3778,1981-10-08,male,2023-08-17 22:59:52,organic,False,active,English,2023-08-17 22:59:52,2023-12-03 21:13:03,2024-11-08 12:32:07
46,Elizabeth,Rojas,wcochran@example.com,266.468.4590,2005-12-06,female,2023-04-13 07:21:44,social,False,active,English,2023-04-13 07:21:44,2023-12-08 01:23:12,2024-09-07 07:59:39
47,Robert,Mcintyre,nbaird@example.com,686-337-1597,1973-08-09,male,2025-05-31 08:24:04,social,False,active,English,2025-05-31 08:24:04,2025-07-03 15:17:35,2025-06-20 14:32:08
48,Cassandra,Serrano,mjohnson@example.org,(743)834-8170x5802,1979-09-20,female,2025-01-31 20:08:55,organic,True,inactive,English,2025-01-31 20:08:55,2025-07-02 17:30:50,2025-04-02 19:49:30
49,Joshua,Mendoza,pricerebecca@example.org,(534)967-2994,1965-02-13,male,2023-04-14 12:53:28,email,False,active,English,2023-04-14 12:53:28,2024-06-15 10:04:30,2024-02-21 20:54:50
50,Jill,Summers,aliciakent@example.com,879.501.4754x692,1977-01-03,female,2023-05-05 14:13:58,referral,True,active,English,2023-05-05 14:13:58,2024-02-08 13:23:23,2025-03-06 19:12:59
51,Thomas,White,longsonya@example.org,(348)741-3768,2005-06-27,male,2024-05-15 11:38:25,paid_ads,False,active,English,2024-05-15 11:38:25,2024-07-13 22:19:50,2024-08-05 05:10:05
52,Jennifer,Martin,williammurray@example.org,+1-976-956-3600x4125,1996-07-14,female,2024-02-14 08:56:26,referral,False,active,English,2024-02-14 08:56:26,2025-02-06 17:15:30,2024-04-07 08:58:25
53,Matthew,Reeves,rtaylor@example.org,(409)312-4186,1976-02-02,male,2025-01-24 21:11:16,organic,True,active,English,2025-01-24 21:11:16,2025-01-29 05:40:41,2025-05-11 00:05:00
54,Hunter,Robinson,staffordamanda@example.com,001-508-516-4709x006,1965-03-01,male,2024-08-10 11:12:38,organic,True,inactive,English,2024-08-10 11:12:38,2025-05-28 11:05:38,2025-02-11 17:55:28
55,Alexis,Johnson,rogersjames@example.net,731-722-0681,1966-03-20,female,2023-02-14 21:25:23,email,False,active,English,2023-02-14 21:25:23,2025-07-07 00:19:09,2023-12-06 08:16:02
56,Timothy,Foster,nmartinez@example.org,(652)706-5063x731,1985-08-31,male,2023-08-13 16:15:27,organic,True,active,English,2023-08-13 16:15:27,2023-09-16 19:20:19,2023-10-04 23:24:11
57,Jennifer,Saunders,gbird@example.net,+1-792-441-9562,1957-12-11,female,2023-08-31 10:49:45,paid_ads,False,active,English,2023-08-31 10:49:45,2025-01-05 22:40:33,2025-04-14 02:14:59
58,Emily,York,bjones@example.net,001-276-383-8903,1976-12-09,female,2025-08-29 02:48:42,paid_ads,True,active,English,2025-08-29 02:48:42,2025-09-13 02:38:47,2025-09-09 14:14:00
59,Peter,Harvey,taylorvictor@example.org,(663)703-9752,1967-10-14,male,2024-07-22 13:50:54,organic,False,active,English,2024-07-22 13:50:54,2024-08-22 08:11:06,2025-08-31 03:37:19
60,Maria,Roberts,perezjessica@example.com,738.403.3968,1966-11-04,female,2024-07-01 10:38:13,referral,True,active,English,2024-07-01 10:38:13,2025-06-10 00:50:29,2024-07-06 03:16:49
61,Benjamin,Lee,shawnamartinez@example.org,001-483-538-1674,1997-01-26,male,2024-10-28 16:02:35,organic,True,active,English,2024-10-28 16:02:35,2025-01-31 18:54:32,2025-04-11 08:09:57
62,David,Mitchell,mfaulkner@example.com,915.266.2776x8962,2004-03-09,male,2025-04-24 02:03:40,email,True,active,English,2025-04-24 02:03:40,2025-09-19 00:54:32,2025-07-07 03:36:14
63,Olivia,Dorsey,angelathompson@example.com,547.446.8971x527,1995-06-15,female,2023-02-02 05:26:08,organic,True,active,English,2023-02-02 05:26:08,2023-11-23 19:11:54,2023-02-08 17:17:52
64,Nicholas,Brooks,zfrost@example.net,(567)849-1601x692,1972-01-05,male,2024-11-11 17:43:54,paid_ads,True,active,English,2024-11-11 17:43:54,2025-02-18 20:54:45,2025-09-07 06:29:33
65,Katrina,Burns,heather66@example.net,937.405.0249,1973-12-21,female,2024-03-20 10:14:43,email,True,active,English,2024-03-20 10:14:43,2024-10-03 22:31:04,2024-09-28 14:23:29
66,Tiffany,Skinner,wilsonchristopher@example.net,(869)618-3626x4488,1993-08-22,female,2025-03-12 08:26:05,email,True,inactive,English,2025-03-12 08:26:05,2025-08-19 04:54:30,2025-04-15 20:47:42
67,Kenneth,Salinas,josephclark@example.net,(440)427-0116x8646,1958-02-12,male,2025-06-10 04:48:31,organic,False,inactive,English,2025-06-10 04:48:31,2025-08-21 22:48:38,2025-07-16 09:29:44
68,Christina,White,hayeslisa@example.org,402.334.6791,1953-10-01,female,2023-04-22 14:33:08,social,True,active,English,2023-04-22 14:33:08,2024-07-20 23:03:58,2023-09-02 17:56:35
69,Destiny,Peterson,timothychambers@example.org,2048090138,1991-05-27,female,2023-04-07 14:45:22,organic,True,active,English,2023-04-07 14:45:22,2025-06-23 12:31:28,2024-05-24 13:49:58
70,John,Rogers,rrogers@example.com,235-366-9055x10762,1999-12-29,male,2024-10-19 18:55:48,referral,False,active,English,2024-10-19 18:55:48,2025-09-22 06:38:46,2025-05-13 20:45:14
71,Paul,Wright,qmontgomery@example.com,363.705.0505x73976,1953-04-19,male,2025-09-16 04:45:52,paid_ads,True,active,English,2025-09-16 04:45:52,2025-09-21 09:24:14,2025-09-21 23:26:42
72,Susan,Navarro,catherine28@example.net,001-980-527-1487x271,1995-09-13,female,2025-09-16 13:31:48,social,True,active,English,2025-09-16 13:31:48,2025-09-19 12:24:45,2025-09-19 03:10:29
73,Melissa,Garcia,martinsarah@example.com,001-343-747-1287x153,1985-03-08,female,2025-07-16 19:22:12,paid_ads,True,active,English,2025-07-16 19:22:12,2025-08-22 09:52:03,2025-09-24 11:07:57
74,Martha,Glover,ostokes@example.com,741-411-5931,1998-10-16,female,2024-05-10 19:15:07,paid_ads,True,active,English,2024-05-10 19:15:07,2025-01-09 04:56:05,2025-03-02 02:36:08
75,Eric,Lawrence,melaniewhitney@example.com,001-652-589-9316x087,1995-08-13,male,2022-09-28 12:52:07,organic,True,inactive,English,2022-09-28 12:52:07,2024-11-12 23:58:51,2025-08-19 20:23:41
76,Kyle,Thomas,georgekyle@example.net,749-473-7460,2001-06-27,male,2023-05-12 22:42:20,organic,True,active,English,2023-05-12 22:42:20,2024-04-04 02:55:49,2024-04-26 13:59:16
77,Tammy,Parsons,tluna@example.net,(808)365-6756,1971-09-30,female,2022-12-16 14:06:13,email,True,active,English,2022-12-16 14:06:13,2025-03-15 13:34:13,2024-02-29 06:35:41
78,Thomas,Haynes,udavis@example.net,4475292774,1994-04-20,male,2025-09-11 17:04:50,paid_ads,False,active,English,2025-09-11 17:04:50,2025-09-17 00:09:15,2025-09-16 11:03:28
79,Adam,Barber,gregoryvanessa@example.org,(862)401-5720x1859,2007-10-13,male,2025-07-03 14:12:08,paid_ads,True,active,English,2025-07-03 14:12:08,2025-09-02 11:09:14,2025-09-11 17:52:00
80,Andrew,Allen,mturner@example.org,+1-961-576-4750x1111,1979-06-06,male,2023-10-11 12:35:22,referral,False,active,English,2023-10-11 12:35:22,2023-10-29 09:50:21,2025-01-09 08:16:31
81,John,Benson,bauerherbert@example.com,+1-964-392-1518x2606,2004-08-10,male,2025-03-03 11:30:17,referral,True,active,English,2025-03-03 11:30:17,2025-09-21 00:00:49,2025-04-20 16:06:03
82,Vincent,Merritt,michelleneal@example.org,+1-375-610-2932,2003-10-20,male,2023-08-14 05:05:59,email,False,active,English,2023-08-14 05:05:59,2025-06-05 13:16:48,2025-03-21 03:19:06
83,William,Hunter,tammy26@example.net,9347084872,1963-01-14,male,2023-02-04 08:47:29,email,False,active,English,2023-02-04 08:47:29,2025-04-26 07:12:06,2024-08-04 08:40:09
84,Jordan,Watts,youngjacob@example.com,829.383.9542,1993-08-24,male,2025-01-09 00:11:38,organic,True,inactive,English,2025-01-09 00:11:38,2025-08-10 13:09:15,2025-04-18 00:39:43
85,Matthew,Martin,qmiller@example.net,(728)831-4359x89262,2005-04-12,male,2024-05-11 00:09:58,referral,True,active,English,2024-05-11 00:09:58,2025-03-01 08:09:18,2024-05-31 03:09:39
86,Billy,Martinez,suttonrichard@example.com,+1-315-354-2340x1636,1977-08-23,male,2023-10-15 09:40:21,email,False,inactive,English,2023-10-15 09:40:21,2024-02-28 21:32:33,2024-11-27 07:53:25
87,Leah,Roman,ricejackie@example.com,+1-749-810-2562,1977-10-10,female,2024-01-15 03:17:08,organic,False,active,English,2024-01-15 03:17:08,2025-01-19 12:38:06,2025-04-19 04:44:47
88,Alexandra,Palmer,dianethomas@example.net,001-640-653-9672x757,1975-02-19,female,2023-11-02 08:47:07,paid_ads,False,inactive,English,2023-11-02 08:47:07,2024-09-29 14:54:15,2024-12-10 17:22:23
89,Eric,Hodge,richard51@example.net,913-212-9014,1959-10-07,male,2023-09-16 07:14:02,paid_ads,False,active,English,2023-09-16 07:14:02,2025-09-21 22:37:46,2024-08-10 14:51:41
90,Timothy,Taylor,rrobertson@example.net,001-216-909-3068x538,1987-09-20,male,2024-11-24 03:20:34,paid_ads,False,active,English,2024-11-24 03:20:34,2025-01-28 14:10:40,2025-08-13 02:20:42
91,Stephanie,Thompson,mary85@example.org,(676)525-1538x14474,1965-12-28,female,2024-12-17 04:23:47,referral,False,active,English,2024-12-17 04:23:47,2024-12-18 01:13:17,2025-08-19 07:23:14
92,Daniel,Torres,wallspatricia@example.com,2507975451,1988-08-08,male,2024-05-29 09:33:44,paid_ads,False,active,English,2024-05-29 09:33:44,2024-10-20 23:47:36,2025-04-06 16:39:16
93,Brian,Vasquez,ricerachel@example.com,670-724-3765,2000-05-17,male,2022-10-09 16:45:14,referral,True,active,English,2022-10-09 16:45:14,2024-08-05 02:28:52,2023-07-19 16:59:33
94,Brian,Gonzales,wmartin@example.net,(505)931-3402x66502,1971-07-28,male,2023-11-18 13:17:42,organic,True,inactive,English,2023-11-18 13:17:42,2025-04-18 06:19:16,2024-06-12 00:09:32
95,John,Simpson,markduran@example.com,862.211.0225x80305,1992-02-16,male,2024-07-11 01:51:41,email,False,active,English,2024-07-11 01:51:41,2025-06-13 10:19:54,2025-07-19 01:18:28
96,Katelyn,Hodges,christinadaniel@example.org,441.543.6371,1958-04-23,female,2023-12-08 08:20:23,paid_ads,True,active,English,2023-12-08 08:20:23,2025-03-11 13:02:08,2025-04-09 20:01:58
97,Dave,Anderson,hilljames@example.org,(909)231-0668x43356,1973-09-04,male,2023-05-14 23:12:03,paid_ads,True,active,English,2023-05-14 23:12:03,2025-07-15 00:17:49,2025-03-08 09:37:47
98,Elizabeth,Adams,sherry63@example.com,6203005347,2003-09-08,female,2022-12-15 04:08:46,paid_ads,False,active,English,2022-12-15 04:08:46,2024-10-14 13:32:35,2023-09-28 07:28:51
99,Jack,Torres,caldwellfelicia@example.org,455-398-9534x39611,1985-04-08,male,2024-10-28 02:46:21,referral,False,active,English,2024-10-28 02:46:21,2024-11-13 01:16:59,2025-06-12 21:55:17
100,Robert,Lee,eschaefer@example.net,+1-654-773-8202x368,1987-12-21,male,2025-07-08 10:25:06,organic,True,inactive,English,2025-07-08 10:25:06,2025-08-12 23:17:17,2025-08-20 23:27:27
101,Thomas,Jones,gmills@example.org,(894)924-0903,1963-09-02,male,2023-03-27 08:21:28,social,True,active,English,2023-03-27 08:21:28,2025-07-01 12:16:21,2025-06-02 00:33:59
102,Jessica,Hicks,rmorales@example.org,(602)693-9087,1967-01-30,female,2023-06-10 01:15:23,organic,False,active,English,2023-06-10 01:15:23,2024-05-17 07:59:24,2024-09-12 10:29:43
103,Kristen,Jackson,fergusonkelly@example.net,(242)740-3381,1986-10-03,female,2023-11-17 01:14:30,organic,True,active,English,2023-11-17 01:14:30,2025-03-22 11:18:19,2025-03-01 02:13:58
104,Angela,Thornton,jennifer69@example.com,500-953-4240x89164,2007-05-24,female,2024-02-12 02:50:01,email,True,inactive,English,2024-02-12 02:50:01,2024-08-01 11:50:36,2024-10-20 23:32:04
105,Kevin,Morton,omoore@example.net,001-965-427-1727x223,1975-04-15,male,2023-08-08 16:55:39,referral,False,active,English,2023-08-08 16:55:39,2024-10-19 20:17:57,2023-09-10 09:37:40
106,Stacey,Roth,chadjones@example.org,261.282.0916x601,1972-04-30,female,2023-06-06 00:20:14,paid_ads,False,active,English,2023-06-06 00:20:14,2023-12-28 08:19:45,2024-06-25 19:13:59
107,Derek,Mays,sparksalbert@example.org,+1-651-732-7972,1980-10-26,male,2023-02-02 18:57:28,organic,True,active,English,2023-02-02 18:57:28,2025-02-15 17:57:23,2023-09-30 19:37:55
108,Kimberly,Adams,smithbradley@example.net,618-562-0303x6625,1979-04-05,female,2022-12-21 17:28:47,referral,True,active,English,2022-12-21 17:28:47,2024-08-10 09:46:06,2023-06-14 08:22:43
109,William,Walker,michael95@example.org,(410)692-2685x926,2002-07-11,male,2023-06-16 07:54:35,referral,True,active,English,2023-06-16 07:54:35,2024-09-04 04:15:08,2024-12-08 12:40:09
110,Devin,Porter,sarah10@example.org,001-725-426-7711x964,2002-12-06,male,2023-03-06 08:48:14,organic,True,active,English,2023-03-06 08:48:14,2023-12-13 21:29:45,2024-10-24 11:17:34
111,Kathleen,Olson,oguzman@example.com,(536)868-7887,1970-05-17,female,2024-02-03 23:14:42,organic,False,active,English,2024-02-03 23:14:42,2024-04-08 21:59:32,2025-04-30 05:11:51
112,Joseph,Frank,jacquelineyoung@example.org,705.487.2105,1989-10-05,male,2024-07-12 05:39:12,referral,False,active,English,2024-07-12 05:39:12,2025-02-26 03:12:32,2025-07-04 19:54:53
113,Valerie,Durham,jasonwalker@example.net,(312)960-6501,1999-02-25,female,2025-01-29 15:42:52,organic,True,active,English,2025-01-29 15:42:52,2025-09-17 07:30:09,2025-04-01 01:59:43
114,Jacob,Miller,smithmariah@example.com,(927)228-4765,1967-01-13,male,2023-05-12 02:37:19,referral,True,inactive,English,2023-05-12 02:37:19,2024-07-30 14:08:52,2023-10-31 22:56:38
115,Stanley,Johnson,wesleysmith@example.com,+1-478-549-8436x2418,2004-03-01,male,2022-12-28 03:16:54,organic,True,active,English,2022-12-28 03:16:54,2024-09-10 03:21:57,2025-08-15 18:54:21
116,Jenna,Carson,velasqueztaylor@example.com,+1-766-220-5634x1115,1996-01-22,female,2023-08-31 23:42:45,referral,False,active,English,2023-08-31 23:42:45,2024-03-05 00:52:25,2024-04-07 04:25:51
117,Ashley,Lewis,avilakyle@example.net,903.241.9909,1981-03-05,female,2025-01-14 05:24:19,organic,True,active,English,2025-01-14 05:24:19,2025-02-01 21:15:12,2025-05-16 09:30:22
118,Adam,Kelly,susan83@example.com,001-965-221-5681x820,1976-02-06,male,2024-01-18 07:54:47,referral,True,active,English,2024-01-18 07:54:47,2024-08-30 16:07:49,2024-05-22 13:19:39
119,Julie,Mcclure,cisnerosjesse@example.org,+1-822-288-9857x2545,1975-02-28,female,2025-08-20 23:02:09,organic,True,active,English,2025-08-20 23:02:09,2025-09-24 13:27:51,2025-09-23 02:38:27
120,Christine,Bishop,rubioashley@example.com,702-448-1717,1964-05-30,female,2023-10-02 08:58:49,organic,False,active,English,2023-10-02 08:58:49,2024-05-18 23:30:58,2024-02-04 19:02:44
121,Laura,Gomez,whitekelsey@example.com,447.921.9705x4669,1977-01-27,female,2023-12-05 01:49:14,paid_ads,True,active,English,2023-12-05 01:49:14,2024-09-14 22:12:19,2025-01-06 03:07:34
122,Tiffany,Brooks,qhunter@example.net,8904380214,1956-11-24,female,2025-05-23 06:15:19,referral,True,active,English,2025-05-23 06:15:19,2025-09-10 23:16:15,2025-08-08 19:02:12
123,Daniel,Sawyer,baileytaylor@example.net,711.921.6636x515,1984-11-27,male,2023-01-17 07:07:56,email,True,active,English,2023-01-17 07:07:56,2023-12-13 14:44:47,2025-01-26 01:52:51
124,Jesse,Gardner,nthomas@example.com,001-209-560-5673,1989-02-14,male,2023-12-02 08:51:52,paid_ads,True,inactive,English,2023-12-02 08:51:52,2023-12-20 04:32:52,2025-07-13 14:29:56
125,Derrick,Reid,thomasjoshua@example.org,576-783-4201x6542,1974-09-23,male,2024-07-13 21:54:12,email,True,inactive,English,2024-07-13 21:54:12,2025-06-04 10:30:49,2025-07-23 00:02:55
126,Michael,Martin,sgomez@example.net,(908)493-1992x5502,1994-07-04,male,2025-01-04 19:24:41,organic,True,active,English,2025-01-04 19:24:41,2025-07-17 18:34:56,2025-05-07 16:32:46
127,Jennifer,Meyer,mcneilsherry@example.org,+1-779-510-3368x2963,1980-02-14,female,2025-08-07 20:47:32,organic,True,inactive,English,2025-08-07 20:47:32,2025-08-26 10:13:29,2025-08-09 06:16:44
128,Alexis,Mosley,lyonsdeborah@example.com,(465)858-6851x27652,1941-05-25,female,2024-04-13 01:31:49,social,True,active,English,2024-04-13 01:31:49,2025-02-03 10:23:10,2024-11-20 10:50:09
129,Melissa,Kim,jacqueline11@example.org,909-261-7981,1991-11-25,female,2025-07-16 14:10:09,referral,False,active,English,2025-07-16 14:10:09,2025-09-19 10:02:47,2025-08-13 17:41:43
130,Daniel,Frank,ewilson@example.org,(876)560-5384x444,1955-11-28,male,2024-07-10 08:55:04,referral,False,active,English,2024-07-10 08:55:04,2024-07-13 14:25:12,2025-05-28 08:48:50
131,Allison,Gibbs,matthew96@example.org,+1-863-496-0962,1968-01-14,female,2022-10-20 01:17:34,organic,False,active,English,2022-10-20 01:17:34,2024-07-07 06:39:32,2024-02-26 05:51:01
132,Jessica,Garcia,williamwelch@example.com,001-348-825-3110x609,1954-07-21,female,2023-05-30 01:29:51,email,False,active,English,2023-05-30 01:29:51,2023-07-08 08:22:20,2023-12-18 20:40:48
133,Mark,Howard,denisewalker@example.org,+1-336-340-4120,1991-06-26,male,2025-06-07 12:47:26,organic,False,active,English,2025-06-07 12:47:26,2025-09-04 16:28:50,2025-07-01 08:32:27
134,Diane,Kline,jonesmegan@example.org,(417)406-1713x6657,1960-02-11,female,2023-05-04 06:17:47,organic,False,active,English,2023-05-04 06:17:47,2024-08-10 08:41:22,2023-05-20 00:21:13
135,Mary,Welch,wilsonmatthew@example.com,299.480.2841x3908,1944-12-17,female,2023-06-30 11:51:14,referral,False,inactive,English,2023-06-30 11:51:14,2024-05-31 12:20:44,2025-01-17 07:57:47
136,Alyssa,Taylor,lunashelby@example.com,573-615-8477x686,1980-02-14,female,2023-08-28 23:03:45,paid_ads,False,inactive,English,2023-08-28 23:03:45,2024-01-10 07:15:41,2024-01-29 15:44:48
