brand_id,brand_name,brand_tier,created_at,description,is_active,parent_company,website_url,year_established
21,Bella Vista 2,Contemporary,2023-01-13 11:42:29,"Body term capital group. Open administration enter camera inside.
Live sing message board. Develop past road training probably feeling poor.
Your suggest international blue.",True,,http://beasley-gutierrez.info/,2021
22,Urban Thread 2,Luxury,2022-06-07 16:45:17,"Fine fine effort well. Attack story behavior benefit school speech news. What no prove improve them wait institution trouble.
Outside goal official defense prevent.",True,,http://white.com/,1957
23,Coastal Chic 2,Premium,2024-08-27 20:25:30,Accept thank not husband center plan. Begin most heavy. Game have return since nothing be apply.,True,Joyce-Brown,http://saunders.com/,1990
24,Metro Style 2,Premium,2022-02-18 00:18:15,"Market issue can. Region matter street south author technology amount.
Tv television office of remember individual boy.
Commercial way least ready gun join.",True,Bell-Mullen,http://www.thomas.com/,2022
25,Classic Craft 2,Premium,2023-04-20 02:04:41,"Concern significant management senior. Large under north play person ten physical character.
Kind field ever argue medical financial later. Hard expert popular within.",True,,https://www.lucas.info/,2013
26,Modern Muse 2,Fast Fashion,2022-12-19 09:42:28,City health executive impact full our smile positive. Form newspaper hit edge. Their four old center glass whose recognize hot.,True,,http://jenkins.com/,2008
27,Sunset Styles 2,Luxury,2022-08-17 07:56:39,Sell six doctor dream whole. Tough create question now key show sing. Month whom stage soon catch economic political. Never bill suffer surface expect several.,True,Vang-Brooks,http://combs.com/,2021
28,City Casual 2,Contemporary,2024-02-07 15:49:29,Although true line story. Large accept bad eight strong nature road.,True,,http://ashley.net/,2004
29,Elite Edge 2,Contemporary,2024-01-30 22:35:34,After them analysis hit health section ground. General run pick sign. Card good full poor store range.,True,,https://paul-kline.biz/,1978
30,Vintage Vibe 2,Luxury,2022-03-06 23:13:03,"Reality happen something entire bar interesting issue. Nation fly bag produce.
Owner international ready goal amount thank good. Ever woman way avoid point guy.",True,Reyes-Bradley,http://watson-hines.org/,2013
31,Fresh Fashion 2,Contemporary,2021-04-28 04:39:42,Huge power economic box save material. Trial brother simple region Democrat partner. Customer career available common require young specific.,True,,https://www.henson.info/,1969
32,Bold Basics 2,Luxury,2022-12-21 22:22:14,Statement available win politics last quite. Campaign stop necessary onto should can. Treat area buy check clearly follow remember.,True,,https://www.butler.net/,2004
33,Luxe Label 2,Luxury,2021-12-20 06:45:29,"Each southern image law read citizen indeed. Daughter parent fine responsibility safe team wish.
Middle blood drop business last cell. Face his past.",True,,http://www.wagner-levy.com/,2009
34,Street Smart 2,Value,2023-03-21 11:39:39,Anything manager think. Experience account blue care enough hand idea. Hundred now crime.,True,,http://flores.com/,1951
35,Pure Elegance 2,Value,2023-04-06 14:40:32,"Stock mother remember feel staff happy purpose. On someone rise read ago listen. Officer return on color pick people subject challenge.
Occur red course. Finish charge real improve simple turn.",True,"Becker, Lara and Baker",https://www.ramirez.com/,2018
36,Trend Tribe 2,Fast Fashion,2022-01-01 14:53:28,"Real major look night various. Explain of myself time house.
Fact explain research get. Pretty section degree still even no. Case past only drug prove.",True,,http://www.butler.com/,1993
37,Style Studio 2,Premium,2024-04-17 06:55:51,Control see the face also fear owner. Expect writer myself management voice surface. Evening speak former room possible responsibility add.,True,,http://ward.info/,2008
38,Fashion Forward 2,Luxury,2022-01-15 21:35:08,Rather type thousand show real police. Happen determine whatever long lawyer.,False,,https://www.griffin.biz/,1972
39,Chic Collection 2,Contemporary,2022-09-05 21:41:51,"Next pull final against. Staff second official and general. Must art thus worry.
Expert conference career. Hear through large true help bag. Card team budget year hotel camera without.",True,Patel-Morrow,http://moore-lopez.com/,1988
40,Mode Moderne 2,Premium,2020-11-15 08:09:52,She this administration deal beyond almost our reflect. Each analysis keep. Describe tell argue mean eye staff rule.,True,,https://evans.net/,1975
41,Bella Vista 3,Luxury,2022-10-01 21:04:38,"Feeling remain south trip none. Newspaper care drug data position two.
Movie stop appear help. Owner them could seven right next look thank. Field training deep couple scientist section.",True,,http://www.thomas.org/,2019
42,Urban Thread 3,Premium,2023-10-19 19:00:24,Charge form here street material. Either start whom politics make collection. College result major true my politics.,True,,https://smith.biz/,1950
43,Coastal Chic 3,Luxury,2020-10-14 16:51:08,"Reveal movie expert maybe recently issue vote.
Truth modern drive people. Spring environment however health image.
Wrong difficult range summer president. Behavior here need. Pm reflect bar suddenly.",True,,https://www.allen.net/,1964
44,Metro Style 3,Value,2022-02-23 14:48:03,So ready bad seat. Approach join stuff future shoulder western. Why for plant situation late direction.,True,,http://www.jordan.net/,1989
45,Classic Craft 3,Premium,2022-12-01 08:11:44,Ago government behavior our. Tell activity including single right nice. Occur college herself catch feeling.,True,Jordan-Colon,http://morrison-dominguez.info/,2022
46,Modern Muse 3,Contemporary,2022-01-27 08:37:04,"Why fact reason make office drug. Exactly skill half usually customer young.
Agree road wall decide something story attorney. Pull cause field education child institution.",True,"Williams, Terrell and Byrd",https://rodriguez-garcia.com/,2012
47,Sunset Styles 3,Premium,2022-11-28 14:24:22,Oil offer knowledge hospital sign open matter. Young lot far turn beat story. Give gas six miss.,True,,http://www.sandoval.com/,2018
48,City Casual 3,Contemporary,2022-08-25 16:23:14,Home relate day sell speak artist. Son Mr hand culture. Energy television month police. Home hotel box goal leader common purpose song.,True,"Simpson, Cohen and Perry",https://miller.com/,2010
49,Elite Edge 3,Contemporary,2021-12-24 00:55:02,"Different eye sit not significant.
Member of environmental myself yard my series. National wrong bill stop seem fear. Last give stage.",True,"Carter, Armstrong and Farley",http://www.sellers-riddle.com/,2017
50,Vintage Vibe 3,Luxury,2023-09-20 22:05:32,"Chair focus easy such hotel. Officer environmental increase later.
Middle everything view hard wear force. Than suggest behavior.",True,,http://www.alexander.biz/,1977
